Run Name,Layer ID,Array Size,Ifmap SRAM Size (kB),Filter SRAM Size (kB),OFMAP SRAM Size (kB),Cycles,Stalls,Avg DRAM IFMAP BW,Avg DRAM Filter BW,Avg DRAM OFMAP BW,Cost
scale_run_128x512_ifmap315_filter604_ofmap105,0,128x512,315,604,105,54340,42968,19.99787437559783,20.0,15.360676256963544,3008183.641373385
scale_run_128x512_ifmap315_filter604_ofmap105,1,128x512,315,604,105,743083,719135,19.997830096560705,19.998733066309462,1.1254275465087178,30557052.22229739
scale_run_128x512_ifmap74_filter777_ofmap172,0,128x512,74,777,172,163718,152346,19.989572660972048,20.0,5.3836219148962465,7428408.669572005
scale_run_128x512_ifmap74_filter777_ofmap172,1,128x512,74,777,172,250918,226970,19.989530747480835,19.999138240574506,3.6353962913700024,10946063.211782847
scale_run_128x512_ifmap24_filter864_ofmap136,0,128x512,24,864,136,163891,152519,19.96765432852217,20.0,5.421889197296523,7438937.677989951
scale_run_128x512_ifmap24_filter864_ofmap136,1,128x512,24,864,136,565518,541570,19.967567777862268,19.99924652837951,1.6047862368826524,23509488.39594664
scale_run_512x128_ifmap503_filter432_ofmap88,0,512x128,503,432,88,52139,47965,19.998757551755734,20.0,6.851817774317597,2442742.146926137
scale_run_512x128_ifmap503_filter432_ofmap88,1,512x128,503,432,88,258213,240420,19.998533237274756,19.99826717847685,0.877823254834805,10554359.201853128
scale_run_128x512_ifmap185_filter777_ofmap61,0,128x512,185,777,61,108086,96714,19.995961450206515,20.0,7.891273830548386,5175939.712555674
scale_run_128x512_ifmap185_filter777_ofmap61,1,128x512,185,777,61,145752,121804,19.995914086866513,19.999138240574506,5.676390754990975,6656704.172150628
scale_run_256x256_ifmap40_filter864_ofmap120,0,256x256,40,864,120,109160,101579,19.980669985593668,20.0,5.791106236602024,4996447.092414881
scale_run_256x256_ifmap40_filter864_ofmap120,1,256x256,40,864,120,292612,280195,19.980555963008573,19.99924652837951,1.624615557511847,12173951.974124707
scale_run_1024x64_ifmap435_filter512_ofmap76,0,1024x64,435,512,76,101632,91363,19.998383751313202,20.0,3.6297476660042745,4434014.252204809
scale_run_1024x64_ifmap435_filter512_ofmap76,1,1024x64,435,512,76,368404,332709,19.998256997757867,19.998564069427243,0.5271725487693322,14929201.344092079
scale_run_128x512_ifmap76_filter512_ofmap435,0,128x512,76,512,435,108023,96651,19.98991112619347,20.0,8.356375529935352,5222510.923455004
scale_run_128x512_ifmap76_filter512_ofmap435,1,128x512,76,512,435,272158,248210,19.989801121876592,19.998564069427243,4.380855354477124,12075438.325298656
scale_run_256x256_ifmap128_filter512_ofmap384,0,256x256,128,512,384,92413,84832,19.99410904577061,20.0,7.702304856377476,4407768.6979392115
scale_run_256x256_ifmap128_filter512_ofmap384,1,256x256,128,512,384,269314,256897,19.993972205988833,19.998564069427243,2.7727699950767577,11517295.692931505
scale_run_512x128_ifmap74_filter777_ofmap172,0,512x128,74,777,172,53612,49438,19.9898150337377,20.0,9.036032111519074,2628373.7171515063
scale_run_512x128_ifmap74_filter777_ofmap172,1,512x128,74,777,172,292378,274585,19.98951949611915,19.999138240574506,1.2818539209600661,12066589.65744148
scale_run_128x512_ifmap49_filter691_ofmap283,0,128x512,49,691,283,108799,97427,19.98425931857492,20.0,8.817813765182187,5309616.749439689
scale_run_128x512_ifmap49_filter691_ofmap283,1,128x512,49,691,283,314603,290655,19.984139823317633,19.99895644006922,3.044379732090856,13536573.030605273
scale_run_256x256_ifmap444_filter432_ofmap148,0,256x256,444,432,148,49989,42408,19.998592515702246,20.0,12.947705133635006,2646732.4731927197
scale_run_256x256_ifmap444_filter432_ofmap148,1,256x256,444,432,148,301305,288888,19.998592515702246,19.998256416548543,1.4380209956695602,12484533.48363204
scale_run_128x512_ifmap435_filter512_ofmap76,0,128x512,435,512,76,52945,41573,19.99856332160046,20.0,15.859605373329936,2957410.7415530896
scale_run_128x512_ifmap435_filter512_ofmap76,1,128x512,435,512,76,216289,192341,19.99910205181161,19.998564069427243,3.838123950331764,9481199.198789936
scale_run_128x256_ifmap537_filter128_ofmap358,0,128x256,537,128,358,10604,0,9.777720038973692,9.852417302798981,97.54365345869711,1242510.8776481817
scale_run_128x256_ifmap537_filter128_ofmap358,1,128x256,537,128,358,17036,0,9.835707790239466,39.40391039059369,60.950531837388894,1877199.395710431
scale_run_256x256_ifmap357_filter604_ofmap63,0,256x256,357,604,63,53939,46358,19.998176679733795,20.0,10.625185212285292,2730573.517093618
scale_run_256x256_ifmap357_filter604_ofmap63,1,256x256,357,604,63,218794,206377,19.99812458975401,19.998792890122825,1.9743212731477267,9183055.211729256
scale_run_512x128_ifmap83_filter691_ofmap249,0,512x128,83,691,249,53669,49495,19.99095431931253,20.0,11.334452207173802,2754583.242869995
scale_run_512x128_ifmap83_filter691_ofmap249,1,512x128,83,691,249,291694,273901,19.990660799558263,19.99895644006922,1.8129765886287625,12193565.804139378
scale_run_512x128_ifmap185_filter777_ofmap61,0,512x128,185,777,61,52698,48524,19.996129690551168,20.0,6.4424527464726244,2447220.41726628
scale_run_512x128_ifmap185_filter777_ofmap61,1,512x128,185,777,61,289524,271731,19.99584600245835,19.999138240574506,0.9081169823806073,11842429.479186608
scale_run_128x512_ifmap118_filter432_ofmap473,0,128x512,118,432,473,52567,41195,19.993749425498667,20.0,19.607931399248272,3133081.5559144723
scale_run_128x512_ifmap118_filter432_ofmap473,1,128x512,118,432,473,303966,280018,19.99348688184468,19.998256416548543,3.9943071647579114,13370263.815082198
scale_run_128x512_ifmap148_filter432_ofmap444,0,128x512,148,432,444,107255,95883,19.99490487585184,20.0,8.586719758720271,5210622.150181032
scale_run_128x512_ifmap148_filter432_ofmap444,1,128x512,148,432,444,303966,280018,19.994809441625684,19.998256416548543,3.949956786012837,13357184.821062963
scale_run_256x256_ifmap379_filter518_ofmap126,0,256x256,379,518,126,88335,80754,19.998145075691216,20.0,7.102137389645644,4160603.451575531
scale_run_256x256_ifmap379_filter518_ofmap126,1,256x256,379,518,126,213723,201306,19.99823339761803,19.998580635431775,1.9992808508088122,8975531.386862913
scale_run_128x512_ifmap358_filter512_ofmap153,0,128x512,358,512,153,54222,42850,19.998181652877534,20.0,15.15308092314649,2990411.7593971747
scale_run_128x512_ifmap358_filter512_ofmap153,1,128x512,358,512,153,215281,191333,19.99825438041415,19.998564069427243,3.8083787893965195,9430426.666860377
scale_run_128x512_ifmap172_filter777_ofmap74,0,128x512,172,777,74,53776,42404,19.995808885163452,20.0,15.32631523402459,2975002.5466334564
scale_run_128x512_ifmap172_filter777_ofmap74,1,128x512,172,777,74,353037,329089,19.995515745339176,19.999138240574506,2.3767092535549064,14958658.963972274
scale_run_512x128_ifmap48_filter864_ofmap112,0,512x128,48,864,112,54535,50361,19.984100887098233,20.0,7.748132337246531,2603077.3388896417
scale_run_512x128_ifmap48_filter864_ofmap112,1,512x128,48,864,112,291916,274123,19.983808102097772,19.999321872986812,1.0125239318234882,11967287.305888975
scale_run_128x512_ifmap128_filter512_ofmap384,0,128x512,128,512,384,53443,42071,19.99425751458053,20.0,19.590294798857684,3184377.229287078
scale_run_128x512_ifmap128_filter512_ofmap384,1,128x512,128,512,384,214161,190213,19.993994022622516,19.998564069427243,4.394289827507396,9505931.73730028
scale_run_128x512_ifmap283_filter691_ofmap49,0,128x512,283,691,49,53877,42505,19.997584832749666,20.0,15.708287511943608,3001265.2843150394
scale_run_128x512_ifmap283_filter691_ofmap49,1,128x512,283,691,49,236789,212841,19.997326099425973,19.99895644006922,3.5153826755768502,10303083.694611695
scale_run_128x512_ifmap136_filter864_ofmap24,0,128x512,136,864,24,109156,97784,19.99443721681396,20.0,7.931654970919913,5231420.518844279
scale_run_128x512_ifmap136_filter864_ofmap24,1,128x512,136,864,24,131036,107088,19.9944129743152,19.99924652837951,6.3755523388694195,6076036.042871198
scale_run_128x512_ifmap105_filter604_ofmap315,0,128x512,105,604,315,54519,43147,19.99291634199901,20.0,18.574513900733415,3193037.729403529
scale_run_128x512_ifmap105_filter604_ofmap315,1,128x512,105,604,315,743083,719135,19.99263518268028,19.998733066309462,1.2349042340198089,30634542.23549219
scale_run_64x1024_ifmap153_filter512_ofmap358,0,64x1024,153,512,358,72595,47546,19.99525988587264,20.0,21.321133585404354,4451263.584047354
scale_run_64x1024_ifmap153_filter512_ofmap358,1,64x1024,153,512,358,221165,152532,19.995195555889197,19.998564069427243,7.444456312278312,10491673.027838144
scale_run_128x128_ifmap576_filter64_ofmap384,0,128x128,576,64,384,10220,0,9.815976524290837,3.4174757281553396,102.10065619873447,1178714.5883710661
scale_run_128x128_ifmap576_filter64_ofmap384,1,128x128,576,64,384,27161,0,9.168691720825091,29.432335329341317,39.62477498815727,2124691.0091629094
scale_run_512x128_ifmap120_filter864_ofmap40,0,512x128,120,864,40,53419,49245,19.99385316290926,20.0,6.406631223665924,2478667.47544646
scale_run_512x128_ifmap120_filter864_ofmap40,1,512x128,120,864,40,292355,274562,19.993559474859918,19.999321872986812,0.8272461622974334,11933968.378228199
scale_run_512x128_ifmap379_filter518_ofmap126,0,512x128,379,518,126,49313,45139,19.998282465692252,20.0,7.13215610187391,2324143.31708239
scale_run_512x128_ifmap379_filter518_ofmap126,1,512x128,379,518,126,243247,225454,19.99801825582732,19.998580635431775,1.3019189663040085,10045740.573298654
scale_run_512x128_ifmap404_filter518_ofmap101,0,512x128,404,518,101,52335,48161,19.998388734028325,20.0,6.71569307617594,2444781.47153704
scale_run_512x128_ifmap404_filter518_ofmap101,1,512x128,404,518,101,269555,251762,19.998138115988212,19.998580635431775,0.9946969557957319,11049441.060958534
scale_run_256x256_ifmap66_filter691_ofmap266,0,256x256,66,691,266,108786,101205,19.988354531724802,20.0,6.432178612563126,5049904.118634507
scale_run_256x256_ifmap66_filter691_ofmap266,1,256x256,66,691,266,293022,280605,19.988240612031962,19.99895644006922,2.1551198906696483,12348625.995204592
scale_run_256x256_ifmap24_filter864_ofmap136,0,256x256,24,864,136,108978,101397,19.967715603819098,20.0,5.863823600678459,4994629.479427735
scale_run_256x256_ifmap24_filter864_ofmap136,1,256x256,24,864,136,293087,280670,19.967600566137477,19.99924652837951,1.7641382789172653,12230809.310143724
scale_run_256x256_ifmap358_filter512_ofmap153,0,256x256,358,512,153,50289,42708,19.998181652877534,20.0,12.519442169246023,2641058.7843907713
scale_run_256x256_ifmap358_filter512_ofmap153,1,256x256,358,512,153,212259,199842,19.998129704960956,19.998564069427243,2.0467627597013376,8924102.040469311
scale_run_256x256_ifmap75_filter518_ofmap430,0,256x256,75,518,430,92817,85236,19.989801121876592,20.0,8.41144950833442,4492458.879744296
scale_run_256x256_ifmap75_filter518_ofmap430,1,256x256,75,518,430,292510,280093,19.989656768012193,19.998580635431775,3.0180799610285676,12579777.892281862
scale_run_256x256_ifmap83_filter691_ofmap249,0,256x256,83,691,249,108985,101404,19.99077348915885,20.0,6.218814913163587,5036151.992027111
scale_run_256x256_ifmap83_filter691_ofmap249,1,256x256,83,691,249,291780,279363,19.990660799558263,19.99895644006922,2.1380452788514632,12292009.369641788
scale_run_128x512_ifmap48_filter864_ofmap112,0,128x512,48,864,112,54799,43427,19.984100887098233,20.0,16.01533060054043,3068712.846091111
scale_run_128x512_ifmap48_filter864_ofmap112,1,128x512,48,864,112,355770,331822,19.983796055352226,19.99924652837951,2.349669190464819,15060708.867905905
scale_run_128x512_ifmap99_filter691_ofmap233,0,128x512,99,691,233,54101,42729,19.99247190407055,20.0,18.096464625482945,3142669.5551853734
scale_run_128x512_ifmap99_filter691_ofmap233,1,128x512,99,691,233,229773,205825,19.992200194995124,19.99895644006922,4.047817711912805,10118967.25262798
scale_run_512x128_ifmap177_filter432_ofmap414,0,512x128,177,432,414,50581,46407,19.995955510616785,20.0,31.912087912087912,3637180.7443638262
scale_run_512x128_ifmap177_filter432_ofmap414,1,512x128,177,432,414,290626,272833,19.995655774426087,19.99826717847685,634.0116959064327,195883556.98661327
scale_run_64x1024_ifmap102_filter512_ofmap409,0,64x1024,102,512,409,70337,45288,19.992710307625018,20.0,22.247679362606775,4377802.2882350935
scale_run_64x1024_ifmap102_filter512_ofmap409,1,64x1024,102,512,409,221165,152532,19.99253257663443,19.998564069427243,7.484272930648769,10499890.112433167
scale_run_256x256_ifmap118_filter432_ofmap473,0,256x256,118,432,473,106306,98725,19.993565644216893,20.0,7.4651996760967085,5045151.5061412575
scale_run_256x256_ifmap118_filter432_ofmap473,1,256x256,118,432,473,301305,288888,19.99345537706955,19.998256416548543,3.906777294307361,13226834.25463738
scale_run_512x128_ifmap197_filter777_ofmap49,0,512x128,197,777,49,51931,47757,19.99639600677551,20.0,6.64036672077551,2421893.7252044524
scale_run_512x128_ifmap197_filter777_ofmap49,1,512x128,197,777,49,293010,275217,19.996102857680395,19.999138240574506,0.8232198788891208,11960217.25091297
scale_run_512x128_ifmap209_filter777_ofmap37,0,512x128,209,777,37,54607,50433,19.996602741587537,20.0,5.782924595907318,2499882.6493185814
scale_run_512x128_ifmap209_filter777_ofmap37,1,512x128,209,777,37,289597,271804,19.99633101077256,19.999138240574506,0.8243716424549571,11821303.463322384
scale_run_256x256_ifmap266_filter691_ofmap66,0,256x256,266,691,66,54703,47122,19.997430579771322,20.0,10.410491227441351,2757464.546619955
scale_run_256x256_ifmap266_filter691_ofmap66,1,256x256,266,691,66,212965,200548,19.997247075017206,19.99895644006922,2.021049541215999,8948204.297135446
scale_run_512x128_ifmap112_filter864_ofmap48,0,512x128,112,864,48,52263,48089,19.993395707209686,20.0,6.349900509478932,2422039.690172797
scale_run_512x128_ifmap112_filter864_ofmap48,1,512x128,112,864,48,292991,275198,19.99309658687133,19.999321872986812,0.8264044515588078,11959547.743638964
scale_run_256x256_ifmap148_filter432_ofmap444,0,256x256,148,432,444,91654,84073,19.99493398347212,20.0,8.606867118151776,4454549.478168237
scale_run_256x256_ifmap148_filter432_ofmap444,1,256x256,148,432,444,301305,288888,19.994809441625684,19.998256416548543,3.876534160491289,13218129.833624013
scale_run_512x128_ifmap61_filter777_ofmap185,0,512x128,61,777,185,53661,49487,19.987569464755776,20.0,9.532873789594618,2657316.5054716966
scale_run_512x128_ifmap61_filter777_ofmap185,1,512x128,61,777,185,292664,274871,19.98727211470071,19.999138240574506,1.4606892184995082,12130073.949659206
scale_run_256x256_ifmap473_filter432_ofmap118,0,256x256,473,432,118,52051,44470,19.99867875604882,20.0,10.420836398213101,2624386.183294487
scale_run_256x256_ifmap473_filter432_ofmap118,1,256x256,473,432,118,301305,288888,19.99917420207275,19.998256416548543,1.4306256082072935,12482480.481424587
scale_run_256x256_ifmap49_filter691_ofmap283,0,256x256,49,691,283,108578,100997,19.98425931857492,20.0,6.654445462878093,5063937.287760605
scale_run_256x256_ifmap49_filter691_ofmap283,1,256x256,49,691,283,293136,280719,19.984144428603994,19.99895644006922,2.09239736172964,12333843.249267371
scale_run_512x128_ifmap49_filter777_ofmap197,0,512x128,49,777,197,54444,50270,19.984438050775385,20.0,8.611844251356722,2645775.99365728
scale_run_512x128_ifmap49_filter777_ofmap197,1,512x128,49,777,197,293008,275215,19.984144428603994,19.999138240574506,1.467013971110585,12145268.517977823
scale_run_128x512_ifmap75_filter518_ofmap430,0,128x512,75,518,430,108438,97066,19.989771315847154,20.0,8.278716408833478,5234138.271888917
scale_run_128x512_ifmap75_filter518_ofmap430,1,128x512,75,518,430,377145,353197,19.98964157743978,19.998580635431775,2.8204418305855214,16145073.60066962
scale_run_512x128_ifmap315_filter604_ofmap105,0,512x128,315,604,105,49190,45016,19.99787437559783,20.0,8.516935980527288,2386443.5214177947
scale_run_512x128_ifmap315_filter604_ofmap105,1,512x128,315,604,105,290860,273067,19.997587163710943,19.998792890122825,0.9946928553080621,11922663.466352992
scale_run_64x1024_ifmap409_filter512_ofmap102,0,64x1024,409,512,102,82826,57777,19.998408428960225,20.0,20.344335987670178,4997948.14905183
scale_run_64x1024_ifmap409_filter512_ofmap102,1,64x1024,409,512,102,223721,155088,19.99856757466517,19.998564069427243,7.442906020172539,10613332.666287018
scale_run_128x512_ifmap336_filter604_ofmap84,0,128x512,336,604,84,54342,42970,19.998007306542675,20.0,15.478904265335489,3014726.328639003
scale_run_128x512_ifmap336_filter604_ofmap84,1,128x512,336,604,84,743083,719135,19.99796579631809,19.998733066309462,1.1260570728456314,30557620.84879922
scale_run_128x512_ifmap404_filter518_ofmap101,0,128x512,404,518,101,52851,41479,19.998388734028325,20.0,15.343506207625254,2924874.4895613333
scale_run_128x512_ifmap404_filter518_ofmap101,1,128x512,404,518,101,215306,191358,19.998453179682514,19.998580635431775,3.8551985103656796,9441648.73306979
scale_run_128x512_ifmap266_filter691_ofmap66,0,128x512,266,691,66,53478,42106,19.997430579771322,20.0,15.606451381799294,2973584.3995408732
scale_run_128x512_ifmap266_filter691_ofmap66,1,128x512,266,691,66,213093,189145,19.997289421969235,19.99895644006922,3.8934557861761103,9352588.193322986
scale_run_256x256_ifmap88_filter432_ofmap503,0,256x256,88,432,503,93010,85429,19.99133805866881,20.0,9.646398378979887,4616805.866065705
scale_run_256x256_ifmap88_filter432_ofmap503,1,256x256,88,432,503,301305,288888,19.991195110214697,19.998256416548543,3.96119768355286,13242550.360314293
scale_run_256x256_ifmap185_filter777_ofmap61,0,256x256,185,777,61,91962,84381,19.995988980251006,20.0,6.483703538341333,4274365.483394789
scale_run_256x256_ifmap185_filter777_ofmap61,1,256x256,185,777,61,144392,131975,19.995914086866513,19.999138240574506,2.972326354384402,6204145.742626135
scale_run_512x128_ifmap294_filter604_ofmap126,0,512x128,294,604,126,53248,49074,19.99767530677648,20.0,7.33388893097962,2520311.132532037
scale_run_512x128_ifmap294_filter604_ofmap126,1,512x128,294,604,126,286711,268918,19.99741136478979,19.998792890122825,1.142688505238306,11794973.08215563
scale_run_128x512_ifmap63_filter604_ofmap357,0,128x512,63,604,357,108868,97496,19.987790544049712,20.0,8.350106389096556,5262450.163317768
scale_run_128x512_ifmap63_filter604_ofmap357,1,128x512,63,604,357,743083,719135,19.98767193363179,19.998733066309462,1.192488771654666,30599335.920478813
scale_run_256x256_ifmap120_filter864_ofmap40,0,256x256,120,864,40,54569,46988,19.99385316290926,20.0,11.012852836913044,2783384.939704303
scale_run_256x256_ifmap120_filter864_ofmap40,1,256x256,120,864,40,293175,280758,19.993559474859918,19.99924652837951,1.4896547697950184,12161620.437134372
scale_run_1024x64_ifmap384_filter512_ofmap128,0,1024x64,384,512,128,109067,98798,19.99813532458066,20.0,3.5975322712519513,4754848.677674675
scale_run_1024x64_ifmap384_filter512_ofmap128,1,1024x64,384,512,128,325415,289720,19.9980256486193,19.998564069427243,0.8213776690597883,13282778.857275207
scale_run_256x256_ifmap37_filter777_ofmap209,0,256x256,37,777,209,108703,101122,19.979108252240366,20.0,6.124385768817091,5011588.110571009
scale_run_256x256_ifmap37_filter777_ofmap209,1,256x256,37,777,209,293662,281245,19.978993096274845,19.999138240574506,1.9392291628470624,12309535.919061849
scale_run_128x512_ifmap249_filter691_ofmap83,0,128x512,249,691,83,109106,97734,19.997037475929492,20.0,7.8110690786524914,5216151.273744222
scale_run_128x512_ifmap249_filter691_ofmap83,1,128x512,249,691,83,213093,189145,19.997047725364652,19.99895644006922,3.8838835492408412,9350496.91278318
scale_run_512x128_ifmap37_filter777_ofmap209,0,512x128,37,777,209,54524,50350,19.979288167002778,20.0,9.146456692913386,2678532.112742069
scale_run_512x128_ifmap37_filter777_ofmap209,1,512x128,37,777,209,293534,275741,19.978993096274845,19.999138240574506,1.4727333238244664,12167238.107306227
scale_run_128x512_ifmap354_filter518_ofmap151,0,128x512,354,518,151,53727,42355,19.99816119007778,20.0,15.145939086294415,2962727.0755486493
scale_run_128x512_ifmap354_filter518_ofmap151,1,128x512,354,518,151,214738,190790,19.9982347359827,19.998580635431775,3.809551355044409,9406891.578106327
scale_run_128x512_ifmap120_filter864_ofmap40,0,128x512,120,864,40,54863,43491,19.99385316290926,20.0,15.579215532036613,3048905.2678108155
scale_run_128x512_ifmap120_filter864_ofmap40,1,128x512,120,864,40,273958,250010,19.99356480533536,19.99924652837951,3.037837190046629,11788590.408272652
scale_run_64x1024_ifmap384_filter512_ofmap128,0,64x1024,384,512,128,80856,55807,19.998304826159924,20.0,20.450944259909154,4887684.484103201
scale_run_64x1024_ifmap384_filter512_ofmap128,1,64x1024,384,512,128,222336,153703,19.998643837938634,19.998564069427243,7.448975866061092,10548994.715448659
scale_run_128x512_ifmap177_filter432_ofmap414,0,128x512,177,432,414,51343,39971,19.995955510616785,20.0,17.662084904512835,2960336.769034
scale_run_128x512_ifmap177_filter432_ofmap414,1,128x512,177,432,414,303966,280018,19.995674403716553,19.998256416548543,3.7170704390608127,13286658.208792258
scale_run_512x128_ifmap126_filter518_ofmap379,0,512x128,126,518,379,52251,48077,19.994166757811076,20.0,19.30209371884347,3098288.906165676
scale_run_512x128_ifmap126_filter518_ofmap379,1,512x128,126,518,379,290905,273112,19.993870378946795,19.998580635431775,10.401611820013432,14659884.848838806
scale_run_256x256_ifmap249_filter691_ofmap83,0,256x256,249,691,83,90103,82522,19.997072324051903,20.0,6.6643642288363125,4204335.417724887
scale_run_256x256_ifmap249_filter691_ofmap83,1,256x256,249,691,83,212965,200548,19.997047725364652,19.99895644006922,2.026947325129806,8949417.864187894
scale_run_512x128_ifmap63_filter604_ofmap357,0,512x128,63,604,357,53766,49592,19.987972665148064,20.0,15.484696598059081,2982543.5356055954
scale_run_512x128_ifmap63_filter604_ofmap357,1,512x128,63,604,357,292499,274706,19.98767646988735,19.998792890122825,4.767319657894158,13090438.533947999
scale_run_256x256_ifmap84_filter604_ofmap336,0,256x256,84,604,336,93123,85542,19.990917443788483,20.0,8.002094211983852,4469253.224420487
scale_run_256x256_ifmap84_filter604_ofmap336,1,256x256,84,604,336,293104,280687,19.990774125492244,19.998792890122825,2.3654055941004493,12414411.891798057
scale_run_64x1024_ifmap358_filter512_ofmap153,0,64x1024,358,512,153,80824,55775,19.998181652877534,20.0,20.571990224205717,4895523.571793377
scale_run_64x1024_ifmap358_filter512_ofmap153,1,64x1024,358,512,153,222663,154030,19.998545295850455,19.998564069427243,7.431524375616387,10560601.8746487
scale_run_256x256_ifmap136_filter864_ofmap24,0,256x256,136,864,24,92631,85050,19.994470438111442,20.0,6.46549786968952,4303633.324319911
scale_run_256x256_ifmap136_filter864_ofmap24,1,256x256,136,864,24,273111,260694,19.994330488886305,19.99924652837951,1.5883636070841676,11356485.385856848
scale_run_128x512_ifmap83_filter691_ofmap249,0,128x512,83,691,249,109132,97760,19.99077348915885,20.0,8.23137028883493,5262578.994780018
scale_run_128x512_ifmap83_filter691_ofmap249,1,128x512,83,691,249,230254,206306,19.990678927904096,19.99895644006922,3.993506121435529,10127294.260502346
scale_run_128x512_ifmap294_filter604_ofmap126,0,128x512,294,604,126,53643,42271,19.99767530677648,20.0,15.146604777302597,2958104.616550254
scale_run_128x512_ifmap294_filter604_ofmap126,1,128x512,294,604,126,743083,719135,19.997532996176144,19.998733066309462,1.1240785761994805,30555829.055148028
